name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1013;0;921;3045;1802;3045;1847;0
header;207;96;207;130;1850;130;1850;96
A;1017;477;1017;484;1023;484;1023;477
A;1042;583;1042;591;1049;591;1049;583
A;1036;801;1036;808;1043;808;1043;801
A;997;1267;997;1274;1018;1274;1018;1267
B;1800;1429;1800;1446;1827;1446;1827;1429
A;1023;2155;1023;2182;1042;2182;1042;2155
A;1199;2389;1199;2415;1213;2415;1213;2389
A;1476;2828;1476;2829;1476;2829;1476;2828
A;1529;2838;1529;2842;1532;2842;1532;2838
A;1498;2846;1498;2847;1500;2847;1500;2846
A;1408;2863;1408;2865;1409;2865;1409;2863
