name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1061;0;1130;3041;1732;3041;1319;0
header;209;109;209;150;1839;150;1839;109
A;1204;214;1204;214;1204;214;1204;214
A;1262;260;1262;286;1276;286;1276;260
A;1128;1002;1128;1008;1136;1008;1136;1002
A;1362;1270;1362;1295;1376;1295;1376;1270
A;1245;1315;1245;1341;1260;1341;1260;1315
A;1118;1458;1118;1465;1125;1465;1125;1458
C;1301;2245;1301;2264;1315;2264;1315;2245
B;1578;2711;1578;2730;1593;2730;1593;2711
A;1637;2750;1637;2750;1637;2750;1637;2750
